sobject_id,tmass_id,gaiadr3_source_id,survey_name,field_id,setup,mjd,ra,dec,flag_sp,flag_sp_fit,opt_loop,flag_red,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4,chi2_sp,px_used_perc,model_name,closest_model,comp_time,fit_global_rv,rv_comp_1,e_rv_comp_1,rv_comp_2,e_rv_comp_2,rv_gaia_dr3,e_rv_gaia_dr3,v_bary_eff,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,nn_li_fe,nn_e_li_fe,nn_flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,mass,age,bc_ks,a_ks,lbol,r_med,r_lo,r_hi,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,res_h_beta,res_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,ebv,phot_g_mean_mag,bp_rp,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,W2mag,e_W2mag,ruwe,parallax,parallax_error,ew_li,e_ew_li_low,e_ew_li_upp,a_li,a_li_upp_lim,e_a_li_low,e_a_li_upp,e_a_li_teff,flag_a_li
150719002901107,b'22243510-1600216',2595741795476771200,b'k2_hermes',6577,b'allstar',57222.777,336.14630126953125,-16.006027221679688,0,0,2,32768,35.182747,50.216003,69.03571,59.922024,0.65394694,94,b'5000_2.00_-2.00',b'5000_2.00_-2.00',153.68506,True,-110.623856,0.20440546,,,-110.95737,2.199654,16.645320892333984,4897.139,75.818184,2.019355,0.11755985,-1.7728288,0.07850886,0,1.3319465,0.2989887,5.964839,1.6668148,0.90351313,0.3921464,1,0.3339396,0.10292676,1,,,2,,,2,0.027292863,0.07846071,0,0.41637495,0.106350906,0,,,2,0.22570561,0.119105786,1,0.19334492,0.072476186,0,0.35411832,0.044325955,0,0.1794257,0.055228885,0,0.34295383,0.054564897,0,-0.03183423,0.12420487,1,-0.02276867,0.067453824,0,-0.32734665,0.04679559,0,0.19578004,0.20787303,1,-0.05324599,0.03440653,0,0.05501172,0.27602965,1,0.14950109,0.07946795,0,,,2,,,2,-0.21717079,0.101311035,0,,,2,,,2,,,2,-0.035474468,0.09577332,0,0.08924818,0.67796606,1,,,2,0.033935048,0.15302287,1,,,2,,,2,0.8788752,9.480148,1.9567714,0.0155879995,119.40888,4470.489,4210.9854,4748.002,,,,0.220953,0.32461193,0.8377497,1.1378,,,,,,,0.0077021252,0.13551436,-95.36261,,,,0.0433,12.905544,1.1134272,11.437,0.022,10.949,0.024,10.868,0.021,10.824,0.02,1.1442866,0.1938268525052802,0.021640321,6.373776,2.003688,2.3565464,0.36369255,,0.16697492,0.1403584,0.09821329,0
171102002101068,b'21502698+0743586',2700927743579335552,b'galah_main',565,b'allstar',58059.44,327.6124267578125,7.732944488525391,0,0,2,0,67.99776,96.3947,128.5648,115.35996,1.0928358,94,b'4750_2.50_-0.50',b'4750_2.50_-0.50',99.90252,True,-29.721249,0.20529099,,,-19.850128,4.1055665,-26.411205291748047,4753.5024,68.18131,2.727344,0.10803668,-0.3622776,0.05603832,0,1.2769992,0.28101376,3.8722928,1.4379365,0.20772113,0.041051544,0,0.15018629,0.045990963,0,0.23045196,0.066258274,0,0.24182764,0.07234357,0,0.17772385,0.022147493,0,0.23910141,0.018660929,0,0.41243523,0.035474192,0,0.18965511,0.012782508,0,0.14276113,0.037808806,0,0.19762062,0.023445314,0,0.20099282,0.01667594,0,0.27932987,0.011635677,0,0.35423446,0.015454032,0,-0.023950575,0.013073106,0,-0.20069791,0.018022735,0,0.30269852,0.013896361,0,0.079271816,0.009343245,0,0.18996185,0.022476017,0,-0.098319605,0.046574432,0,0.39507565,0.24441148,0,0.2032198,0.22227712,0,-0.15359522,0.029888071,0,-0.19914462,0.08428811,0,,,2,,,2,-0.2075527,0.044981863,0,0.07184691,0.098881386,0,-0.29315233,0.13122976,1,-0.053762294,0.040739223,0,0.14579429,0.06276535,0,0.2982918,0.16830947,0,1.0297791,8.917332,2.0642118,0.0,24.330425,1361.1854,1305.3386,1436.9911,,,,0.21565668,0.4843337,0.8015384,1.0924883,,,,0.036870833,0.33303997,-27.954199,0.029105866,0.8748522,-21.827827,0.021643478,0.27045965,-32.666634,0.0681,12.234924,1.268548,10.598,0.024,9.999,0.025,9.89,0.023,9.937,0.021,2.4543886,0.7278292503676218,0.034233697,-3.5342166,0.71336937,1.7715653,,-0.44418427,,,,1
210927001601294,b'20180586-3357589',6699358024880580992,b'galah_main',652,b'allstar',59484.418,304.5244445800781,-33.96638870239258,0,0,2,0,23.79581,37.445374,57.618507,45.953255,0.63445437,94,b'5000_2.50_-0.75',b'5000_2.50_-0.75',90.52721,True,-12.45498,0.24505584,,,-11.579804,2.1976912,-26.37847137451172,5070.671,73.88437,2.4777215,0.1227235,-0.67398196,0.06232591,0,1.5970798,0.2845321,6.8999596,1.4879695,0.44604316,0.07745145,1,0.1667739,0.06003938,1,0.3652547,0.11096745,1,0.72634625,0.09771132,0,0.08635992,0.057910535,0,0.22952941,0.04789991,0,0.093716204,0.13312343,0,0.24106197,0.027469419,0,0.04562269,0.0800278,0,0.22975063,0.046209328,0,0.2057224,0.04960974,0,0.27513307,0.02807204,0,0.13488257,0.04251363,0,-0.054604363,0.030044395,0,-0.15335758,0.04797616,0,0.26757473,0.0655622,0,0.040598758,0.02079492,0,0.13069849,0.05607569,0,0.17799717,0.14248458,0,,,2,,,2,-0.08593209,0.08735218,0,-0.3632981,0.5559692,1,,,2,,,2,-0.17893955,0.088044785,0,0.3576435,0.395252,1,-0.123837925,0.48567763,1,0.03332285,0.28106874,0,0.22602786,0.1379934,1,,,2,0.92729175,9.462377,1.862584,0.0,50.402397,3532.9895,3367.0652,3720.6995,,,,0.18059644,0.40657836,0.87535703,1.2455808,,,,0.06601406,0.97675264,-10.224935,0.06308495,1.0379865,-11.939243,,,,0.0819,13.40758,1.1190338,11.963,0.026,11.466,0.025,11.372,0.025,11.399,0.021,1.0053861,0.2862681208951291,0.016569836,-2.392361,3.3347406,2.600981,,0.6030283,,,,1
230804002101248,b'16511681-4533552',5940172630619093760,b'galah_phase2',7864,b'allstar',60160.418,252.82008361816406,-45.56536102294922,0,0,2,0,27.09564,59.036964,121.86967,123.81402,1.9057764,94,b'4500_2.00_0.25',b'4500_2.00_0.25',122.48572,True,-37.280014,0.18689865,,,-37.348988,0.25275183,-22.092601776123047,4531.379,67.04274,1.8707849,0.11705882,0.24799499,0.055697735,0,1.9434949,0.280394,8.646623,1.4103525,-0.35983258,0.039354995,0,0.34719062,0.02385591,0,0.39519453,0.025061736,0,0.48698986,0.024675492,0,0.28517604,0.02792532,0,0.11392891,0.017677823,0,-0.04920265,0.020538492,0,0.12084772,0.015477066,0,0.18674089,0.032986958,0,-0.25646582,0.021566572,0,-0.015336046,0.018848095,0,-0.048127893,0.011773445,0,0.12025111,0.018521499,0,0.048675157,0.009556003,0,0.14901727,0.023253694,0,0.15877399,0.01285637,0,0.07329938,0.007996893,0,0.4468068,0.0399373,0,0.41925177,0.08712666,0,-0.06648807,0.0843113,0,-0.24243684,0.08310031,0,0.2854529,0.03160998,0,0.2273518,0.05319483,0,0.31049636,0.11593531,0,-0.20618595,0.18932413,0,0.28118888,0.031302035,0,0.2658051,0.059284363,0,0.31750542,0.060320143,0,-3.386289e-05,0.036811445,0,0.045892,0.071140476,0,0.3354909,0.05781776,0,4.1582522,0.17949612,2.2177272,0.3460857,583.0989,2239.7493,2163.9607,2314.9502,,,,0.2538065,0.60424626,0.9424482,1.276282,0.19421634,0.17873648,18.522963,0.6866392,2.1740944,-55.378403,0.08448668,0.24896531,-37.460915,0.21175815,0.48159608,-13.6647625,11.9989,12.198505,2.598917,8.95,0.027,8.011,0.034,7.715,0.027,7.554,0.02,1.0016928,0.45128559386205985,0.018819202,9.948104,1.4547244,1.5715985,0.16231118,,0.07193019,0.06722948,0.10402461,0
210923002101111,b'20422101-5633128',6469518278873255424,b'galah_main',289,b'allstar',59480.44,310.5875549316406,-56.553585052490234,0,0,2,0,42.89079,74.15706,109.907425,110.88434,0.8455417,94,b'4750_3.00_-0.50',b'5000_3.00_-0.50',108.218025,True,-30.551851,0.21170287,,,-30.417429,0.31376424,-21.45857048034668,4882.8657,69.24681,2.7853608,0.103624694,-0.34144953,0.057771545,0,1.3063924,0.28177607,5.383865,1.4311013,0.2693074,0.043470733,0,0.16993332,0.042660955,0,0.09005746,0.066507086,0,0.3523211,0.06485582,0,0.1466423,0.028258065,0,0.20643109,0.020558659,0,0.32581496,0.038965065,0,0.17389496,0.014084837,0,0.030242845,0.034555003,0,0.14805138,0.022410175,0,0.13699916,0.020662136,0,0.24044879,0.015964687,0,0.33372277,0.019168237,0,-0.03358419,0.014957074,0,-0.19403772,0.028475007,0,0.22000879,0.028011708,0,0.111308336,0.010942643,0,0.14659639,0.027310956,0,0.075682014,0.07097621,0,0.3431537,0.27038005,0,0.14285591,0.3297927,1,-0.1568978,0.05650027,0,-0.12881765,0.12633766,0,,,2,,,2,-0.20490885,0.046363216,0,0.12088926,0.136746,0,-0.17057186,0.21742304,1,0.10662345,0.08690843,0,0.15566257,0.07677275,0,0.3914163,0.2475583,0,1.2871329,4.1523147,1.983113,0.023867713,29.62487,1309.4147,1280.5367,1333.4507,,,,0.1931001,0.43036667,0.82399374,1.1225514,,,,0.029159196,0.34843248,-36.54587,,,,0.017886514,0.4417193,-32.098873,0.0792,11.884955,1.1835537,10.4,0.024,9.853,0.023,9.697,0.021,9.747,0.019,1.1533921,0.761306013126047,0.01458004,1.3218949,1.4394594,1.5050374,,0.03150579,,,,1
170912001901374,b'21005904-1224049',6888792982011753472,b'NGC_6994',-5,b'allstar',58008.516,315.2460021972656,-12.401361465454102,0,0,2,0,51.56739,68.123184,88.109985,73.33571,0.8363215,94,b'4750_2.50_-0.50',b'5000_2.50_-0.50',105.73404,True,40.55564,0.21873981,,,40.692383,1.2261822,-17.618494033813477,4917.2153,69.52835,2.5348163,0.114817865,-0.35144225,0.06010661,0,1.6078426,0.2812175,5.07118,1.4634812,0.1483272,0.06123382,1,-0.15553442,0.05194888,0,0.06887233,0.10028529,1,-0.06234383,0.116716504,0,0.13801011,0.034684356,0,0.124456815,0.026189065,0,0.14501783,0.054461353,0,0.1141133,0.016324013,0,-0.13690507,0.05653793,0,0.17026252,0.03232795,0,0.08926703,0.022131145,0,0.2644684,0.013382597,0,0.3016547,0.024925983,0,-0.0831141,0.01685211,0,-0.21954106,0.024727529,0,0.24791047,0.023442658,0,0.048152696,0.01028299,0,0.14776868,0.032095563,0,0.12954606,0.06534062,0,-0.14955808,0.37465602,1,0.20093785,0.3067684,1,-0.14851463,0.042210672,0,-0.16912235,0.13742141,0,,,2,,,2,-0.06574873,0.055621315,0,0.16117641,0.13720496,0,-0.005006805,0.17317691,0,-0.06635698,0.059918955,0,0.123570815,0.08627053,0,0.5926224,0.21964943,0,1.0484527,8.792794,1.9623686,0.0,44.187992,3058.6228,2899.85,3225.8132,,,,0.19082105,0.4656059,0.8554266,1.2155739,0.014871077,0.15359099,-127.26536,0.02655449,0.26699328,33.285656,,,,0.016479533,0.2441872,31.168453,0.043,13.224104,1.1811905,11.719,0.027,11.159,0.024,11.102,0.023,11.098,0.021,1.1754751,0.3421613408070268,0.018768182,-1.0780138,2.162559,2.0542276,,0.2606334,,,,1
230411000101012,b'09361321-4802535',5410150026798168192,b'galah_phase2',7798,b'allstar',60045.54,144.05503845214844,-48.048194885253906,0,0,2,0,24.27234,55.229004,90.743546,103.09133,0.94236296,94,b'4500_2.00_-0.25',b'4500_2.00_-0.50',182.33466,True,2.4747255,0.19269015,,,2.2668405,0.84278166,-7.480470657348633,4446.207,68.22798,1.8611773,0.10892916,-0.32222876,0.059593193,0,1.7135007,0.28083378,4.2528243,1.4552325,-0.11043831,0.057550196,0,0.06819384,0.05654788,1,-0.1254099,0.1887189,0,0.27541038,0.0685614,0,0.059819385,0.041580353,0,0.07038801,0.025417078,0,0.08975053,0.032444917,0,0.09792526,0.019015197,0,0.56218433,0.03824394,0,0.021810183,0.034595713,0,0.03472691,0.021733267,0,0.041489404,0.014231183,0,0.2067302,0.020067351,0,0.029320743,0.012052173,0,-0.036107346,0.03784752,0,0.20297873,0.026435165,0,0.048374623,0.010929391,0,0.18215613,0.040978353,0,0.18818925,0.118951656,0,-0.048692685,0.15141605,0,0.49683073,0.18562664,0,0.0818715,0.041281972,0,-0.016631367,0.10266934,0,-0.1751126,0.22052659,1,-0.015986959,0.29925814,1,0.36555886,0.05182956,0,0.71347046,0.06059475,0,0.19402428,0.092033476,0,0.09957095,0.05742154,0,0.33103412,0.07777219,0,0.58073944,0.09453569,0,1.3893614,3.6799717,2.26901,0.12025767,184.62535,3898.4883,3769.902,4067.2925,,,,0.2430064,0.6233653,0.8721178,1.2025212,0.082251966,0.1264735,10.7140665,0.15230626,1.0820655,-4.1508503,0.07717913,0.21020816,-2.7491515,0.091786444,0.49882165,4.9231157,0.4391,13.279024,1.9586611,10.81,0.022,10.051,0.022,9.89,0.024,9.84,0.02,1.053249,0.25680717487538374,0.011801969,4.22443,2.1077719,1.7141668,-0.38311192,,0.30195737,0.15025431,0.10225599,0
160923001801198,b'19225811+0127108',4264556561051521920,b'corot',-3,b'allstar',57654.418,290.7421569824219,1.4529999494552612,0,0,2,0,27.060549,55.767178,78.5997,90.710106,1.0937423,94,b'4500_2.50_0.00',b'4500_2.50_0.00',177.72415,True,0.9210938,0.20144664,,,0.45809707,1.440286,-25.513031005859375,4599.282,68.35779,2.508964,0.11672708,0.07287039,0.05610033,0,1.4256089,0.28105262,5.0092573,1.421671,-0.2934891,0.057983343,0,0.053052876,0.06784426,0,-0.106324315,0.08838264,0,0.04849959,0.08549319,0,-0.026065871,0.037360962,0,-0.0006593093,0.022184076,0,0.023204073,0.031666383,0,0.04736403,0.018443272,0,0.43751013,0.034447554,0,-0.075554475,0.030480908,0,0.035678644,0.021289673,0,-0.025835158,0.015662892,0,0.22332755,0.02390238,0,-0.040703278,0.0153267495,0,0.018067934,0.028447237,0,0.20730755,0.017629351,0,0.054930344,0.011204424,0,0.22899577,0.039722078,0,0.18209581,0.101996005,0,0.12054508,0.13623844,0,-0.0011417415,0.14735699,0,0.0066553317,0.046347413,0,-0.053038422,0.10204547,0,-0.019994538,0.19914265,0,-0.035162143,0.29111326,1,0.16732723,0.05059106,0,0.21113837,0.07393052,0,0.08098866,0.15898818,0,0.055088364,0.059416186,0,-0.049039528,0.09725764,0,-0.048343733,0.13490018,0,1.1398469,7.6153913,2.1706865,0.16524023,39.024506,2451.083,2357.5105,2551.1123,,50.921093,,0.21289062,0.5412963,0.8192089,1.1252687,0.1055599,0.1509362,-11.174781,0.19974652,0.75618184,-27.588507,0.08061347,0.21748504,-18.80995,0.09557564,0.257019,-14.525958,0.5709,13.9246,1.8501539,11.662,0.026,10.911,0.025,10.713,0.023,10.651,0.02,1.018803,0.41699455898724846,0.017532915,7.303959,1.6999724,2.225713,0.09760247,,0.11734802,0.11818365,0.10037401,0
140610003901134,b'16513802-6222584',5818379585873076224,b'galah_main',3605,b'allstar',56818.52,252.90846252441406,-62.38291549682617,0,0,2,0,38.002857,59.611664,85.79496,82.50401,0.81133634,94,b'5000_2.50_-0.25',b'5000_2.50_-0.25',151.38466,True,-38.539955,0.21347648,,,-39.121605,0.6458157,0.3898983299732208,4884.726,69.075714,2.5080535,0.10127141,-0.20714137,0.05794619,0,1.4751825,0.28120217,4.5244727,1.4424871,0.05375729,0.05504698,0,0.0032554334,0.02809592,0,0.17013583,0.029642258,0,0.09910214,0.05599244,0,0.055124253,0.035129786,0,0.06191335,0.028399473,0,0.118561566,0.0425719,0,0.04998317,0.014579669,0,-0.13641052,0.049062967,0,-0.021684088,0.03046131,0,0.042791557,0.022499427,0,0.04787046,0.015808772,0,0.15300849,0.022683427,0,-0.03857667,0.015936343,0,-0.14762262,0.026736684,0,0.17936069,0.017569615,0,0.046715677,0.013668008,0,0.18635233,0.033544242,0,-0.008475963,0.08030748,0,,,2,,,2,-0.121157736,0.04139287,0,-0.142881,0.12086474,0,,,2,,,2,0.08625097,0.055729374,0,0.34768033,0.05981718,0,0.07182236,0.16811334,0,0.15102687,0.06604757,0,0.05896991,0.11860998,0,0.24201718,0.15891111,0,1.314314,4.411716,1.9853828,0.03763778,57.37215,2001.2416,1958.617,2054.096,,,,0.1864823,0.407032,0.8658684,1.1463367,0.012852427,0.13427678,45.5345,0.12787458,1.0832827,-10.920004,,,,0.043482557,0.728215,-8.823837,0.3004,12.273355,1.313488,10.547,0.023,10.023,0.026,9.912,0.02,9.902,0.02,0.8786571,0.5022511722798298,0.010961615,0.5556448,2.076136,1.8644496,,0.21969508,,,,1
200826001201363,b'17205769-5731342',5916270347357185536,b'galah_bright',3551,b'allstar',59087.375,260.24041748046875,-57.526222229003906,0,0,2,3592,53.29572,71.96992,126.31523,117.50183,1.3118874,94,b'4750_2.50_-0.25',b'4750_2.50_-0.25',122.242226,True,33.53338,0.19985898,,,33.153614,0.1783367,-22.918819427490234,4742.6978,68.07274,2.4276772,0.110729136,-0.19530195,0.05524054,0,1.6996725,0.2806641,1.4758433,1.4834242,0.030475002,0.04083323,0,0.030333288,0.06412314,0,0.19095828,0.038017027,0,0.11947149,0.07067018,0,0.32718703,0.036926996,0,-0.03177392,0.019770533,0,-0.05399534,0.030706506,0,0.10149296,0.013001261,0,-0.33867046,0.042158984,0,0.050624862,0.022715142,0,0.13869192,0.02019653,0,0.04512089,0.012380374,0,0.20499536,0.018435234,0,-0.0076935985,0.010043077,0,-0.05373152,0.022742618,0,0.17480737,0.014924871,0,0.053989656,0.008503832,0,0.2348439,0.03462757,0,0.13512427,0.06083764,0,0.14405003,0.22348975,0,0.2549286,0.20461337,0,-0.10099172,0.038839888,0,-0.19166112,0.08795318,0,,,2,0.07154464,0.39728522,1,0.25108063,0.045980137,0,0.2632913,0.054765236,0,0.08582647,0.16772537,0,0.120604225,0.033542972,0,0.12924355,0.04932598,0,0.32697177,0.1422103,0,1.3609531,3.9208906,2.0749986,0.035802267,63.527603,942.58484,930.6322,957.3509,,,,0.207282,0.50649947,0.8645681,1.2036985,0.028382849,0.4816294,-121.647,0.039328102,0.5805617,0.81415176,,,,0.029654466,0.31952703,20.107994,0.2673,10.438666,1.2832165,8.776,0.023,8.246,0.065,8.075,0.017,8.127,0.02,0.8706217,1.0606171954028243,0.0137480935,-4.1703753,1.9821182,1.758915,,0.018670572,,,,1
