sobject_id,tmass_id,gaiadr3_source_id,survey_name,field_id,setup,mjd,ra,dec,flag_sp,flag_sp_fit,opt_loop,flag_red,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4,chi2_sp,px_used_perc,model_name,closest_model,comp_time,fit_global_rv,rv_comp_1,e_rv_comp_1,rv_comp_2,e_rv_comp_2,rv_gaia_dr3,e_rv_gaia_dr3,v_bary_eff,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,nn_li_fe,nn_e_li_fe,nn_flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,mass,age,bc_ks,a_ks,lbol,r_med,r_lo,r_hi,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,res_h_beta,res_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,ebv,phot_g_mean_mag,bp_rp,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,W2mag,e_W2mag,ruwe,parallax,parallax_error,ew_li,e_ew_li_low,e_ew_li_upp,a_li,a_li_upp_lim,e_a_li_low,e_a_li_upp,e_a_li_teff,flag_a_li
150827004001280,b'23425041-7101169',6386427424950788992,b'galah_main',64,b'allstar',57261.656,355.7099914550781,-71.02133178710938,0,0,2,0,40.2445,49.133667,62.68772,56.156456,0.61202526,94,b'5750_4.00_-1.50',b'5750_4.00_-1.50',136.64423,True,103.65285,0.20469062,,,100.307144,1.4068834,-6.520563125610352,5825.2915,79.1492,3.977819,0.101132005,-1.3024045,0.08730174,1,1.1411098,0.36991507,9.35307,1.7228385,2.3114915,0.3898377,0,0.2121057,0.3478613,33,,,34,0.90700674,0.104780674,0,-0.066490546,0.14954758,0,0.30514696,0.077316016,0,,,2,0.49843585,0.054294564,0,0.21559265,0.063899994,0,0.38742617,0.049910918,0,-0.019178517,0.17244591,1,0.31010464,0.058757007,0,,,2,0.06865781,0.07841586,0,-0.31052086,0.053621132,0,0.091102034,0.5187462,1,-0.027399115,0.04238083,0,-0.47476506,0.42055202,1,-0.060869932,0.10501785,1,,,2,,,2,0.09310636,0.09925522,0,,,2,,,2,,,2,0.3291771,0.12513362,0,,,2,,,2,,,2,,,2,,,2,0.78404903,14.313877,1.4137715,0.00734379,2.3468738,448.6735,441.48187,458.67883,,,,0.069092184,0.22141266,0.8955716,1.3013514,,,,,,,,,,,,,0.0377,12.033129,0.7372837,11.034,0.024,10.74,0.023,10.677,0.021,10.652,0.02,4.093733,2.2213270535872587,0.04410405,50.268482,2.2389224,2.2779322,2.2351217,,0.022192614,0.022644559,0.06546034,0
170723003101186,b'19020242-1507264',4101148689116063872,b'galah_main',4020,b'allstar',57957.543,285.51007080078125,-15.124028205871582,0,0,2,40960,22.701994,27.938389,29.22791,25.882318,0.6634704,94,b'7500_3.50_-2.00',b'7500_3.50_-2.00',48.99876,True,-52.509754,0.7470996,,,,,-7.938558101654053,7543.779,70.16021,3.5612705,0.12679316,-1.7242576,0.32525814,1,3.1818945,6.816931,12.704186,16.088669,,2.6503422,17,,2.8347387,49,,,34,0.8468123,0.61053497,0,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,1.4594135,1.723487,0.5887064,0.0,32.059628,2990.339,2806.1514,3239.346,,,,0.05206614,0.13265765,1.067382,1.4824748,0.18608962,0.16414903,48.33115,0.14053135,0.8762369,-7.361866,0.078422904,0.27293026,-11.513493,0.07480041,0.27414137,-11.327671,0.4653,14.141009,0.77728176,13.016,0.026,12.853,0.028,12.775,0.03,12.803,0.038,1.0114486,0.3293098532589899,0.02266721,0.04926315,4.8878045,5.14097,,2.6246274,,,,3
140807005601134,b'01025245-7351143',4685622544714711552,b'galah_main',92,b'allstar',56876.75,15.718542098999023,-73.8540267944336,0,0,2,0,31.849209,47.81818,65.03347,60.955944,0.66675055,94,b'5250_2.50_-1.00',b'5250_2.50_-1.00',107.95256,True,76.29206,0.22043736,,,75.05629,2.929417,-1.0338655710220337,5319.6523,72.68942,2.5193453,0.096458256,-1.0836579,0.06946889,0,1.6529309,0.29498073,8.038928,1.6385602,0.8535953,0.31173277,1,0.4050263,0.10091006,1,0.59110343,0.17832759,1,0.66530937,0.105854176,0,-0.07024217,0.06857039,0,0.19662121,0.059931614,0,-0.42374265,0.46724954,1,0.17190301,0.04459013,0,0.1223291,0.061507672,0,0.23237893,0.0459068,0,0.11331689,0.05025822,0,0.23983835,0.044589933,0,-0.062941685,0.12991405,1,-0.0032340507,0.045806363,0,-0.27465552,0.049727533,0,0.052848354,0.13751344,1,-0.09704722,0.022016797,0,-0.08475053,0.072374105,0,0.11422446,0.107551664,0,,,2,,,2,-0.05253658,0.11049509,0,0.2704481,1.2361317,1,,,2,,,2,0.22816202,0.1017759,0,0.29717577,0.43002054,1,0.1788054,0.5231379,1,0.21862239,0.098178156,0,0.53456235,0.15162244,1,,,2,0.75990653,13.001221,1.7068672,0.029375924,45.46139,4069.2988,3896.9727,4290.1416,,,,0.14798239,0.3324377,0.88383645,1.2918738,,,,0.037313376,0.33345878,50.919426,,,,,,,0.0618,13.604979,0.9305477,12.377,0.024,11.988,0.022,11.976,0.026,11.876,0.021,1.0815728,0.2478857928396116,0.012902163,-4.9120717,2.301716,2.4068232,,0.6938527,,,,1
140812003201045,b'20235590-3734425',6694896069255113600,b'galah_main',554,b'allstar',56881.55,305.98291015625,-37.578529357910156,0,0,2,1024,46.36723,60.211018,65.618965,62.35722,0.65072083,94,b'5750_4.00_-2.00',b'5750_4.00_-2.00',54.95791,True,-207.30917,0.18621813,,,-206.78172,2.797356,-9.977311134338379,5834.58,72.29939,3.8353295,0.09258005,-1.768798,0.092424765,1,0.6223594,0.38871393,6.372564,2.7146804,2.2442002,0.85513526,1,-0.4224726,0.8271126,33,,,34,,,2,,,2,,,2,,,2,,,2,0.25398466,0.096272826,0,0.23923603,0.0721828,0,,,2,0.22755049,0.097857565,1,,,2,0.03989457,0.11665005,1,-0.1739406,0.0967702,0,,,2,-0.091800526,0.06504846,1,,,2,-0.016098864,0.11050847,1,,,2,,,2,-0.32508522,0.38930425,1,,,2,,,2,,,2,0.014639981,0.15959306,0,,,2,,,2,,,2,,,2,,,2,0.760363,14.326576,1.4020398,0.0,3.1799815,846.0972,837.6068,855.13885,,,,0.024365505,0.14161777,0.8310471,1.2179666,,,,,,,0.0033935432,0.12970164,-215.66066,0.007876645,0.12883301,-218.1526,0.0666,13.1334715,0.77006245,12.096,0.024,11.746,0.024,11.729,0.024,11.694,0.023,0.97717905,1.1789338329397634,0.014996533,45.51591,3.0525746,1.1440675,2.196629,,0.033906966,0.012143666,0.05677804,0
150828004201322,b'23133461-6904536',6387630810364033152,b'galah_main',45,b'allstar',57262.617,348.3942565917969,-69.08158111572266,0,0,2,8192,35.87123,41.266197,53.444122,47.94469,0.590695,94,b'6250_4.00_-2.00',b'6250_4.00_-2.00',48.943657,True,123.667175,0.20923337,,,122.84135,0.9752625,-7.464073181152344,6192.967,72.18455,4.186066,0.090671636,-1.8025094,0.10448647,1,0.6845278,0.4829929,8.5863285,2.8162065,2.3780737,1.2172855,1,,,34,,,34,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,-0.03943713,0.13140562,1,,,2,,,2,,,2,,,2,-0.14249976,0.256497,1,,,2,,,2,,,2,-0.106961325,0.14175282,1,,,2,,,2,,,2,,,2,,,2,0.74086034,14.365275,1.2136128,0.0,1.7537184,420.8259,418.8546,423.04938,,,,0.048603896,0.18033715,0.89921963,1.3295083,,,,,,,,,,,,,0.0455,12.250451,0.6463928,11.383,0.023,11.118,0.022,11.047,0.019,11.076,0.02,1.1213764,2.379924779910217,0.011983602,26.204025,2.9558089,2.3814838,2.2061727,,0.05628693,0.042058203,0.04873915,0
210706004201383,b'23225406-0236160',2637586424891184768,b'k2_hermes',6764,b'allstar',59401.78,350.7253723144531,-2.604416608810425,0,0,2,0,11.825934,16.940092,27.098768,21.604567,0.64045167,94,b'4750_2.50_-1.50',b'4750_2.50_-1.50',143.79439,True,-68.20575,0.30340755,,,-66.644646,5.7280803,26.69536590576172,4792.5337,96.491425,2.3062117,0.12492114,-1.4265774,0.10069084,1,1.3086969,0.32383648,5.2690363,1.8102559,1.2852522,0.15747118,1,0.32134193,0.33951652,1,0.5883764,0.31538212,1,0.7956472,0.6406181,1,-0.011636257,0.15547569,1,0.19125324,0.19510576,1,-0.42767364,0.8543715,1,0.2008638,0.22952774,1,0.17051336,0.14153968,0,0.24622193,0.08354041,0,0.0780862,0.108705945,1,0.23234425,0.0947144,1,-0.074592695,0.31772014,1,-0.19131202,0.11528576,1,-0.1308373,0.11769557,0,-0.25564626,0.3442069,1,-0.13940188,0.047944628,0,-0.12162331,0.15159312,1,0.25319707,0.30906186,1,,,2,,,2,-0.045418043,0.19934094,1,0.2251298,2.3352063,1,,,2,,,2,0.2673043,0.18473653,0,0.28443986,1.7907759,1,0.6395776,2.3220243,1,0.33277467,0.3049564,1,0.7219718,0.42724544,1,,,2,0.80102724,13.50736,2.02428,0.025703888,51.569275,5310.1978,4913.555,5631.9385,,,,0.20715521,0.4182937,0.8085587,1.1977345,,,,,,,0.0138996495,0.123287216,-55.63311,0.10549156,2.0270393,-86.61826,0.0523,14.1350565,1.1263351,12.679,0.023,12.153,0.027,12.096,0.025,12.045,0.022,1.0104771,0.17391917933035822,0.023397017,11.581859,4.5309486,7.093643,0.48856944,,0.2214172,0.21868628,0.12431776,0
170912001901346,b'21002987-1216148',6888799961334683520,b'NGC_6994',-5,b'allstar',58008.516,315.12451171875,-12.270833015441895,0,0,2,0,74.937035,101.08778,132.67377,108.188934,0.7018359,94,b'5000_2.50_-1.00',b'5000_2.50_-1.00',134.28362,True,-0.54045767,0.21186471,,,0.27882886,0.791108,-17.647459030151367,4887.5117,69.33357,2.527502,0.11048445,-1.1158781,0.060693413,0,1.3521537,0.2843154,3.191565,2.0325453,1.0517976,0.13140343,0,0.19978283,0.058127306,0,-0.08228866,0.11817263,1,0.5445789,0.116848744,0,-0.082593046,0.025932577,0,0.30664477,0.027211634,0,0.093936354,0.11619424,0,0.28428647,0.019226065,0,0.11862698,0.041156415,0,0.28065458,0.02602187,0,0.17291835,0.023269016,0,0.28319955,0.020830335,0,0.10697149,0.027595969,0,0.008440564,0.018968306,0,-0.17718087,0.01913189,0,0.06830396,0.025470175,0,0.020895075,0.014664786,0,-0.156926,0.03094002,0,0.18013623,0.046497274,0,,,2,,,2,0.22681496,0.040081583,0,0.12738404,0.18122166,1,,,2,,,2,0.28318626,0.05155497,0,0.5056619,0.19835036,0,0.303941,0.28794637,1,0.5442552,0.042105354,0,0.4889649,0.073605455,0,,,2,0.93880993,9.285658,1.9674423,0.030293712,39.275482,2164.1653,2089.4094,2244.6423,,,,0.20606972,0.4262473,0.8248132,1.1893033,,,,0.029525815,0.34141257,-10.123254,0.010596742,0.4300178,-9.920157,,,,0.0451,12.587869,1.1309891,11.082,0.024,10.603,0.024,10.504,0.023,10.49,0.02,0.94663465,0.4643803281717712,0.015996424,19.346548,1.0194336,1.3655505,0.84545326,,0.025098886,0.031648286,0.08330264,0
170411002601390,b'11471552-5002078',5369405905441850752,b'galah_main',4300,b'allstar',57854.527,176.8146209716797,-50.035526275634766,0,0,2,0,22.941952,84.44635,139.76285,155.27052,3.249921,94,b'3600_0.50_-1.50',b'3500_0.50_-1.50',245.3646,True,8.491393,0.16949946,,,8.730562,0.30478457,0.8539137840270996,3542.7058,67.57442,0.42161605,0.11499971,-1.3724678,0.055977073,0,1.2915245,0.28051853,2.9268787,1.4496125,,0.0888891,16,0.11646986,0.101622455,0,-0.14565696,0.15721868,0,0.478864,0.029078973,0,0.043802902,0.023719214,0,0.107050456,0.021054562,0,0.014760107,0.04461624,0,0.4272148,0.02407334,0,0.1884137,0.035936683,0,0.36271113,0.027623435,0,0.17408629,0.022334736,0,0.38995546,0.017186524,0,0.35891896,0.01888426,0,0.003441376,0.02019969,0,0.3676797,0.05293233,0,0.4035624,0.02089623,0,0.11745781,0.0134382155,0,-0.12560928,0.032578245,0,0.008899149,0.07829512,0,0.1858921,0.10829907,0,-0.12459183,0.13117222,0,-0.06241352,0.03417924,0,0.085156426,0.036062937,0,-0.13869737,0.13060081,0,-0.026566101,0.21216515,0,0.18834475,0.03942587,0,-0.42213607,0.08479321,0,0.05118779,0.09552627,0,0.029798634,0.07289837,0,-0.029281652,0.07288198,0,-0.21507221,0.12256256,0,0.78123415,9.299848,2.8991559,0.11016006,1151.3312,3507.5132,3348.6396,3678.342,,218.4914,,0.31425908,0.50295323,0.8348024,1.1383196,0.017894665,0.11906016,-76.17029,0.044832617,0.7348064,-47.143528,,,,,,,0.1753,11.018483,2.4717207,8.214,0.023,7.282,0.021,7.033,0.029,7.082,0.02,1.1290313,0.26715587815968767,0.019667203,2.144383,1.1681314,1.434851,,-1.7762066,,,,3
170802005501225,b'21303197-7632280',6356662275094409216,b'galah_main',429,b'allstar',57967.754,322.6331787109375,-76.5411148071289,0,0,2,0,32.456436,52.5905,76.738106,72.72695,0.8857946,94,b'4250_1.50_-1.00',b'4250_1.50_-1.00',114.65818,True,176.89902,0.21759725,,,176.27722,0.26582274,-5.8799896240234375,4277.7397,68.64046,1.2714875,0.10827034,-1.0835642,0.06468651,0,1.6057206,0.2815372,3.8127792,1.4953601,,0.07399902,16,9.873067e-05,0.22199951,1,-0.09961164,0.49393797,1,0.47191784,0.24475448,0,0.0098952055,0.04117189,0,0.36543295,0.034321774,0,0.15702781,0.072464325,0,0.4193026,0.020936301,0,-0.006011974,0.05255042,0,0.39933053,0.033072412,0,0.11739979,0.026235932,0,0.32276803,0.016691383,0,0.28934568,0.022391794,0,-0.02578327,0.02391881,0,-0.27641782,0.04129728,0,0.19362006,0.035930067,0,0.0874934,0.017521955,0,-0.12380874,0.035966087,0,0.06464648,0.08924028,0,0.026193747,0.25534886,0,,,2,0.06270883,0.043248862,0,0.37008485,0.085053615,0,,,2,0.070189424,0.3789965,1,0.5251364,0.05634868,0,0.50883526,0.062159143,0,0.2107751,0.16222712,0,0.2460013,0.060365487,0,0.35229334,0.06594169,0,0.46999565,0.20116608,0,1.028875,6.4703555,2.3815374,0.037836,455.43585,3938.7097,3751.438,4137.9966,,246.89902,,0.38040283,0.6288851,0.8992833,1.1419364,,,,0.016550226,0.21769433,173.45079,,,,0.22427619,5.0,208.10776,0.1051,11.622635,1.5788136,9.63,0.023,8.911,0.04,8.737,0.023,8.721,0.019,0.99210036,0.24973157731594492,0.012330068,8.291623,1.79119,1.821327,-0.44083557,,0.108975835,0.089534394,0.096033394,0
160328004701203,b'15495774-6641490',5822335117630885504,b'galah_main',3990,b'allstar',57475.74,237.49063110351562,-66.69697570800781,0,0,2,0,10.674587,21.933199,36.18929,38.917423,0.7069406,94,b'4250_1.00_-1.50',b'4250_1.00_-1.50',210.40033,True,77.33668,0.24052052,,,78.07261,0.58082247,19.04918098449707,4162.679,74.3009,0.85504824,0.1504943,-1.4227128,0.06901383,0,2.0031457,0.28608084,5.8983374,1.4732883,,0.12317246,17,0.299588,0.20195332,1,0.10043168,0.23779231,1,0.4360627,0.3189018,0,-0.24918804,0.1084818,0,0.22821063,0.082080744,0,-0.31954908,0.24535872,1,0.40087348,0.04766216,0,0.051711857,0.084888265,0,0.2969777,0.0678811,0,0.14046422,0.040750332,0,0.30487174,0.03234789,0,0.22212914,0.04645786,0,-0.02645672,0.03993737,0,-0.27978513,0.11946695,1,0.15136148,0.069932066,0,-0.0022228619,0.03333139,0,-0.24333075,0.07453628,0,-0.069269024,0.2769528,1,,,2,,,2,-0.03983464,0.10732516,0,-0.009521573,0.7532052,1,,,2,,,2,0.1939716,0.12198089,0,0.6578421,0.15021032,0,0.5016105,0.19718525,1,0.45909294,0.0875099,0,0.6612162,0.14396654,0,0.94673645,0.34258905,0,0.98306894,5.9251256,2.4684005,0.13402793,1017.94,9495.89,8534.747,10799.466,,,,0.39329797,0.56621253,0.8834608,1.0831732,,,,0.02070844,0.16137946,72.56345,,,,,,,0.2385,12.883539,1.7315245,10.72,0.022,9.955,0.024,9.784,0.021,9.729,0.02,1.137397,0.08565194392916908,0.015510393,15.011486,3.6661432,3.8464427,-0.36194274,,0.13093497,0.109389246,,2
