sobject_id,tmass_id,gaiadr3_source_id,survey_name,field_id,setup,mjd,ra,dec,flag_sp,flag_sp_fit,opt_loop,flag_red,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4,chi2_sp,px_used_perc,model_name,closest_model,comp_time,fit_global_rv,rv_comp_1,e_rv_comp_1,rv_comp_2,e_rv_comp_2,rv_gaia_dr3,e_rv_gaia_dr3,v_bary_eff,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,nn_li_fe,nn_e_li_fe,nn_flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,mass,age,bc_ks,a_ks,lbol,r_med,r_lo,r_hi,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,res_h_beta,res_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,ebv,phot_g_mean_mag,bp_rp,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,W2mag,e_W2mag,ruwe,parallax,parallax_error,ew_li,e_ew_li_low,e_ew_li_upp,a_li,a_li_upp_lim,e_a_li_low,e_a_li_upp,e_a_li_teff,flag_a_li
210515002101055,b'13285520-6443396',5864068932570000000,b'galah_phase2',7497,b'allstar',59349.516,202.22996520996094,-64.72769165039062,96,0,2,0,47.619316,60.0171,71.53803,57.558064,0.65888023,94,b'7750_3.50_-1.00',b'7750_3.50_-1.00',67.455864,True,-26.74638,0.95273715,,,,,-0.5921244621276855,7772.429,67.73969,3.5476992,,-1.106133,0.13997717,1,0.3379618,0.6291821,39.862312,3.8432925,0.5151612,0.75667554,1,-0.0033504465,0.21920487,33,,,34,-0.085141025,0.09994584,0,,,2,-0.07055761,0.24056649,1,,,2,,,2,,,2,-0.14328127,0.23816761,1,-0.1002747,0.18973714,1,-0.09305143,0.17595977,1,,,2,0.05615221,0.13715349,1,,,2,,,2,0.14351544,0.23001944,1,,,2,,,2,,,2,,,2,0.04752765,0.190441,1,,,2,,,2,,,2,-0.030516282,0.17428896,1,,,2,,,2,,,2,,,2,,,2,1.7240502,1.2091591,0.49428168,0.2592,44.03242,1728.6322,1658.7975,1790.4143,,-216.74638,,-0.254049,-0.59444976,0.8054014,0.78340757,0.041786984,0.22348939,27.979988,0.2483971,1.0879097,-4.1805134,0.047525868,0.32782316,-8.450857,0.098089136,0.6030026,-4.351969,2.3496,12.377641,0.3976059,11.745,0.029,11.644,0.035,11.594,0.029,,,1.3108612,0.5765318440619677,0.020476397,2.3869088,3.863133,3.9106402,,2.7104602,,,,3
160108002001036,b'03582420+2448184',66269803487268480,b'k2_hermes',6589,b'allstar',57395.492,59.60087585449219,24.805084228515625,96,0,2,0,43.566154,54.60246,62.486717,57.780792,0.71388113,94,b'7500_4.00_0.00',b'7500_4.00_-0.25',86.62171,True,-15.695117,0.4798435,,,-17.201767,7.8693733,-21.34103012084961,7608.3247,67.95547,4.1066766,0.09971856,-0.13201997,0.08083796,1,0.29685652,0.35246935,37.01666,1.544048,2.666944,1.0640115,1,-0.21285638,0.090943985,32,,,34,-0.27171236,0.07212202,0,-0.2632392,0.06933352,1,-0.10478437,0.07664072,1,-0.492825,0.2574182,1,0.09472808,0.08340971,1,-0.06266065,0.0959756,1,-0.08566964,0.077723086,0,-0.26677433,0.10718305,1,0.096257195,0.07644875,0,,,2,-0.019447675,0.09882703,0,-0.05476515,0.058792826,0,,,2,0.070506826,0.06178002,1,,,2,-0.20392561,0.097166054,1,,,2,,,2,-0.021393206,0.10214423,1,,,2,,,2,,,2,-0.10101764,0.1333579,0,,,2,,,2,,,2,,,2,,,2,1.5968893,1.2093881,0.58648777,0.0,10.338298,775.0365,752.4886,798.74066,,-125.695114,,-0.19502191,-0.260369,0.8507883,1.121833,,,,0.043441474,1.1329699,113.83464,,,,0.023735395,0.6188838,19.618568,0.1088,11.922049,0.4866991,11.312,0.023,11.118,0.021,11.074,0.022,11.04,0.021,2.20106,1.2860979581773315,0.040603567,17.60119,2.9846869,4.977585,3.0327234,,0.085135095,0.11656805,,2
170513004901063,b'17253142-6251246',5910350061346000512,b'galah_bright',2834,b'allstar',57886.67,261.3810119628906,-62.856834411621094,32,0,2,0,78.30526,87.03474,98.62199,82.6185,0.7812432,94,b'7500_4.50_-0.25',b'7750_4.50_-0.25',104.51151,True,8.784935,0.25977916,,,8.880054,2.248209,12.304082870483398,7648.494,66.861015,4.2520614,0.11080741,-0.2622334,0.071401544,1,1.8254296,0.34341547,39.834194,1.7636248,1.2237841,0.59683865,1,-0.2428291,0.08961473,32,,,34,0.08495184,0.052472334,0,-0.11139707,0.052915245,0,-0.06661796,0.07164461,0,-0.37994713,0.224651,1,0.07187785,0.07833047,1,-0.15603787,0.080533884,1,-0.20410644,0.065605916,0,-0.13702385,0.10265356,0,0.03744643,0.061559428,1,,,2,0.1099223,0.0651451,0,-0.0022060275,0.038754754,0,,,2,0.11557308,0.03323901,0,,,2,-0.08282933,0.054883115,0,,,2,,,2,0.14638653,0.09014386,0,,,2,,,2,,,2,0.42075258,0.09843434,0,,,2,,,2,,,2,,,2,,,2,1.5111201,0.6153487,0.5678867,0.0,7.1488504,469.9973,466.62006,473.0242,,-81.215065,,-0.048672937,0.005006632,0.9905582,1.3778882,0.02053154,0.2970964,-56.894905,0.07413237,2.0545213,67.10161,0.014957965,0.30999064,-1.2711716,,,,0.1375,11.042847,0.37395382,10.551,0.021,10.464,0.024,10.407,0.022,10.41,0.021,0.84452796,2.1301746857936354,0.014942682,-0.16379637,2.7991576,2.7788608,,2.5205643,,,,3
190206004801068,b'08041255-1226023',5726295834941165056,b'galah_bright',4144,b'allstar',58520.625,121.05229187011719,-12.434000015258789,96,0,2,40960,13.016243,15.597094,18.698046,15.676434,0.88257855,94,b'7750_4.00_-0.50',b'7750_4.00_-0.50',61.664394,True,14.725496,13.865656,,,16.400877,6.491273,-4.75016975402832,7999.9897,84.654884,4.138231,0.11546052,-0.45286715,0.16230556,1,0.25114626,0.8207596,38.08614,3.0715559,-0.4526147,2.4671528,1,-0.17552042,0.4344439,33,,,34,0.09954714,0.21611099,1,-0.5922209,0.37439942,1,0.3475062,0.19390334,1,,,2,-0.12080027,0.48495016,1,-0.6661281,0.5399477,1,-0.23981771,0.3069506,1,0.40118545,0.23325008,1,-0.21246319,0.33014464,1,,,2,-0.4712413,0.3793445,1,-0.17518121,0.37419108,1,,,2,-0.112491645,0.42454445,1,,,2,-0.3254011,0.6518796,1,,,2,,,2,-0.5338942,0.4809612,1,,,2,,,2,,,2,-0.23394251,0.33771768,1,,,2,,,2,,,2,,,2,,,2,1.5393966,1.3084434,0.41479865,0.0,11.328486,737.3025,723.02466,750.15344,,,,-0.11122448,-0.20383069,0.9218073,1.160559,,,,0.010508867,0.118475236,29.541508,,,,,,,0.0894,11.252305,0.109212875,11.03,0.026,11.071,0.022,11.038,0.023,11.052,0.02,1.1417922,1.36305933786961,0.026617205,-73.46856,16.01645,16.288704,,3.537142,,,,3
200714000701210,b'17034801-3548464',5976837696968983296,b'galah_phase2',8128,b'allstar',59044.492,255.95004272460938,-35.81294631958008,96,0,2,40960,12.388869,16.093597,22.89979,16.850557,0.80807143,94,b'7750_4.00_-0.50',b'7750_4.00_-0.75',72.628296,True,-42.93974,2.403161,,,,,-15.97084903717041,7999.932,87.31162,3.8245063,0.104818165,-0.55773354,0.19124867,1,0.25095424,0.986963,39.999374,3.2353308,1.9193084,2.8956213,1,-0.25464967,0.49436352,33,,,34,0.3638097,0.2427674,1,-0.6294622,0.43595618,1,-0.32042062,0.3716197,1,,,2,-0.519126,0.6549351,1,-0.58964425,0.5510569,1,-0.016492669,0.28191572,1,-0.34489572,0.54528445,1,0.35667273,0.35210773,1,,,2,-0.17481242,0.36833036,1,0.018989608,0.38162524,1,,,2,-0.20133904,0.46758556,1,,,2,0.4016114,0.65123343,1,,,2,,,2,-0.10437135,0.51221913,1,,,2,,,2,,,2,-0.030091874,0.30437326,1,,,2,,,2,,,2,,,2,,,2,1.6940848,1.397122,0.40955293,0.0,25.67254,1690.616,1638.4417,1731.1047,,,,-0.060655784,0.023069385,1.0121655,1.394757,0.10743815,0.14084177,41.707455,0.25001475,0.72509354,-21.155561,0.15750895,0.44842464,-21.99421,0.16252501,0.7289514,-17.27355,1.875,13.292348,0.826334,12.101,0.023,12.005,0.022,11.957,0.026,12.173,0.025,1.1910061,0.5906986943383994,0.017414201,8.993255,14.251225,11.29875,,3.488454,,,,3
170723001601246,b'14433831-7253129',5796807687434065920,b'galah_bright',3341,b'allstar',57957.363,220.90966796875,-72.88691711425781,96,0,2,0,41.360123,45.322124,47.638645,40.63239,0.73987514,94,b'7750_4.00_0.00',b'7750_4.00_0.00',349.76227,True,-12.579292,0.41902897,,,-11.1112585,2.9463437,-13.954618453979492,7778.8843,68.737625,4.087606,0.09691316,-0.011265993,0.0880908,1,1.2865732,0.3718568,39.214184,1.5078967,0.24783097,0.8177135,1,-0.619877,0.098370835,33,,,34,0.30752212,0.10072966,0,-0.22444172,0.08358583,1,0.09422914,0.0940238,1,-0.21202014,0.37428507,1,0.18728906,0.05101084,1,0.027364515,0.1082116,1,-0.0005513355,0.089679316,0,0.085360415,0.11705469,0,0.15307583,0.08854794,1,,,2,0.29453096,0.06399818,0,-0.049044743,0.07799801,0,,,2,0.0144539345,0.04820448,1,,,2,-0.072192326,0.09798462,1,,,2,,,2,0.0613023,0.109993674,1,,,2,,,2,,,2,0.2999017,0.13833527,0,,,2,,,2,,,2,,,2,,,2,1.6955506,1.0448639,0.51624537,0.0,12.53339,741.11127,733.5921,749.05304,,-122.57929,,-0.04098587,-0.013602249,1.0223837,1.3940943,,,,0.115083866,1.775809,25.99039,0.017626071,0.27568302,-19.687622,0.12400959,2.3769488,-11.968816,0.2063,11.565083,0.4118824,10.995,0.024,10.906,0.023,10.838,0.023,10.832,0.021,0.9151626,1.3467533218110466,0.014543581,2.7384179,5.6340504,5.468347,,2.9460523,,,,3
230202003701009,b'12184924-6408065',6053322272770259200,b'galah_phase2',7493,b'allstar',59977.74,184.70504760742188,-64.13516998291016,96,0,2,40960,33.60656,43.128895,51.045673,43.785065,0.66287345,94,b'7750_3.50_-0.50',b'7750_3.50_-0.50',169.30367,True,-6.731236,0.5193716,,,,,17.65914535522461,8000.0,70.80185,3.6703093,,-0.4993736,0.1360761,1,0.4393865,0.49913964,39.878593,2.3415673,2.4868572,1.623623,1,-0.5219619,0.18271552,33,,,34,0.5663904,0.1137368,0,-0.05290819,0.14826427,1,-0.16170263,0.18149464,1,,,2,0.047317807,0.24460286,1,0.2513339,0.16919139,1,-0.13537651,0.14546487,1,-0.1219013,0.19947803,1,0.15646055,0.13009445,1,,,2,-0.037202884,0.11085015,1,-0.34892577,0.16723049,1,,,2,-0.3542646,0.26415253,1,,,2,-0.017055705,0.2468188,1,,,2,,,2,-0.0111148525,0.16038534,1,,,2,,,2,,,2,0.006554082,0.14400683,1,,,2,,,2,,,2,,,2,,,2,1.9328774,1.0402783,0.40910116,0.2592,41.7782,1708.6581,1674.3799,1740.1703,,23.268764,,-0.08954271,-0.11469886,0.99090475,1.2978753,0.030572562,0.117951654,16.345915,0.25426984,1.1055456,1.7338748,0.058169965,0.55784154,1.9476886,0.053273648,0.39846402,4.140577,2.5945,12.759419,0.5736933,11.906,0.023,11.793,0.027,11.711,0.026,,,0.88009006,0.5866459786324747,0.011468686,-0.9720589,5.487029,5.2455688,,3.0547435,,,,3
200514006701184,b'19524549+0448334',4248396110923975680,b'galah_bright',3585,b'allstar',58983.797,298.1895751953125,4.8092780113220215,0,0,2,1024,55.669685,73.7876,90.16739,73.82571,0.7600166,94,b'7500_4.00_0.25',b'7500_4.00_0.00',125.18216,True,41.57328,0.1996863,,,20.738981,3.8154528,24.63042449951172,7505.3,66.82006,4.144677,0.09678387,0.15395898,0.056914654,0,2.9819655,0.29168215,10.61693,1.4607674,-0.04492989,0.3460155,1,-0.81422955,0.051358175,33,,,34,-0.8151557,0.040734913,0,0.064774185,0.029049844,0,-0.40388647,0.039719265,1,-0.1309022,0.09387256,0,-0.004613759,0.024972085,0,-0.46152115,0.057156995,0,-0.8755328,0.036041856,1,-0.32306674,0.058339536,0,-0.13904384,0.041693345,0,,,2,0.19613057,0.017919479,0,-0.07902064,0.018891718,0,0.37142283,0.19170316,1,0.2900135,0.014339009,0,,,2,0.30926353,0.035226945,0,,,2,,,2,0.69902015,0.030572476,0,,,2,,,2,,,2,0.77896017,0.047415935,0,,,2,,,2,,,2,,,2,,,2,1.6688069,0.8593133,0.6401634,0.0,9.37337,529.8836,523.1407,538.211,,,,0.0723299,0.13382086,1.130311,1.512444,,,,0.08043147,0.7896059,-22.96534,0.01301127,0.12514992,61.658527,0.006239918,0.12322267,29.870989,0.176,10.977279,0.40081787,10.411,0.022,10.318,0.022,10.301,0.021,10.256,0.02,0.98618424,1.8857313833154232,0.022982582,6.168549,2.1712666,1.9443123,2.5070095,,0.1905317,0.12267145,,2
140118002001108,b'06030379+0701276',3322278978666947200,b'corot',-3,b'allstar',56675.53,90.76579284667969,7.0243000984191895,32,0,2,0,28.204868,45.773895,60.381508,53.790962,0.6678377,94,b'7750_4.00_0.00',b'7750_4.00_0.00',125.335785,True,30.861753,0.37618136,,,,,-13.26090145111084,7686.146,68.407906,3.9640737,0.10835842,0.06888734,0.07508566,0,3.0446298,0.37231383,27.750402,3.2130544,0.42243707,0.6461094,1,-0.4892193,0.09240977,33,,,34,-0.4583976,0.067155145,0,0.042843714,0.07985516,0,-0.20354378,0.078400135,1,-0.23684776,0.30359837,1,0.015355088,0.08658808,1,0.64441663,0.07427877,0,-0.5195695,0.069549665,0,-0.3150429,0.11655189,1,0.05180164,0.08546516,1,,,2,0.24593626,0.044361442,0,-0.0786681,0.08334083,0,,,2,0.15805024,0.043416776,0,,,2,0.16302893,0.12722136,0,,,2,,,2,1.0535728,0.061987743,0,,,2,,,2,,,2,0.96414286,0.079186946,0,,,2,,,2,,,2,,,2,,,2,1.8237982,1.0510055,0.556482,0.062424373,17.077814,1568.295,1530.4312,1603.1815,,,,0.034508847,0.116787635,1.1049218,1.5341564,0.04118445,0.13654417,-4.399859,0.2549428,1.1381527,14.512299,0.086969584,0.43141308,22.951977,0.07488006,0.39653125,20.306496,0.3357,13.497916,0.76561356,12.427,0.023,12.251,0.023,12.152,0.024,12.103,0.023,0.9822226,0.637784222091734,0.014358827,3.9781568,3.8750398,3.7883866,,2.7275045,,,,3
170828004401047,b'04495713+1531521',3405031762825209344,b'Melotte_25',-5,b'allstar',57993.81,72.48808288574219,15.531083106994629,40,0,2,0,195.20183,216.34862,240.97168,197.55533,1.1944654,94,b'7750_4.00_-0.50',b'7750_4.00_-0.50',68.82087,True,14.874883,0.27959803,-39.12512,90.29199,15.138355,0.30102938,29.184953689575195,7701.583,66.45043,4.187388,0.09340635,-0.39465842,0.0743748,0,2.3270807,0.3370307,39.999626,1.8944769,0.592644,0.21740438,1,-0.2247419,0.07491589,32,,,34,0.11813513,0.034582462,0,-0.18389781,0.03659712,0,-0.21694118,0.06213324,0,,,2,0.14670256,0.030192498,0,-0.117648974,0.05542943,0,-0.11685336,0.053038046,0,0.25923005,0.03821634,0,0.015779354,0.045341067,0,,,2,0.013841694,0.032813884,0,0.0060321838,0.033809036,0,,,2,-0.026489917,0.026944999,0,,,2,-0.27805296,0.04025382,0,,,2,,,2,-0.1251195,0.04537345,0,,,2,,,2,,,2,-0.048538674,0.055425514,0,,,2,,,2,,,2,,,2,,,2,1.4634677,1.3357812,0.54147774,0.0,8.260569,114.235344,113.87856,114.65853,-75.125114,-39.12512,-34.14512,-0.040802166,0.0116041545,1.0011115,1.3829801,0.011713417,0.1236919,-75.11229,0.0047276267,0.31885493,-216.27586,0.008924405,0.45074093,4.1880198,0.001529019,0.11954718,25.142197,0.3258,7.730133,0.30166912,7.311,0.027,7.262,0.023,7.205,0.023,7.189,0.02,0.9926868,8.751243197181207,0.026699997,1.5386959,4.169511,3.2835054,,2.7268622,,,,3
