sobject_id,tmass_id,gaiadr3_source_id,survey_name,field_id,setup,mjd,ra,dec,flag_sp,flag_sp_fit,opt_loop,flag_red,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4,chi2_sp,px_used_perc,model_name,closest_model,comp_time,fit_global_rv,rv_comp_1,e_rv_comp_1,rv_comp_2,e_rv_comp_2,rv_gaia_dr3,e_rv_gaia_dr3,v_bary_eff,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,nn_li_fe,nn_e_li_fe,nn_flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,mass,age,bc_ks,a_ks,lbol,r_med,r_lo,r_hi,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,res_h_beta,res_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,ebv,phot_g_mean_mag,bp_rp,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,W2mag,e_W2mag,ruwe,parallax,parallax_error,ew_li,e_ew_li_low,e_ew_li_upp,a_li,a_li_upp_lim,e_a_li_low,e_a_li_upp,e_a_li_teff,flag_a_li
161009003801374,b'22170066+0317096',2706956743791311744,b'galah_main',147,b'allstar',57670.543,334.25274658203125,3.2860000133514404,0,0,2,0,34.446766,45.975586,64.92586,54.734383,0.6517423,94,b'5500_4.50_-0.75',b'5500_4.50_-0.75',91.277534,True,-30.649343,0.22247447,,,-29.287704,2.0156984,-18.895797729492188,5575.112,77.307846,4.4448476,0.10393713,-0.6449727,0.06776941,0,0.6930632,0.30483243,2.7618923,2.1578755,0.72953135,0.123988934,1,0.33158046,0.068888985,33,-0.57630175,0.81431735,33,0.5299157,0.08749729,0,0.06949934,0.040728133,0,0.47138837,0.032003924,0,0.45784444,0.16171977,0,0.30143732,0.026953163,0,-0.6263482,0.060395706,0,0.17376952,0.043777157,0,0.37727308,0.051668424,0,0.27856556,0.037482325,0,0.19744816,0.047126427,0,0.008049807,0.029123925,0,-0.17507693,0.036618557,0,0.26013577,0.06998182,0,0.091881946,0.029616524,0,-0.069251895,0.079313114,0,0.29691005,0.089251675,0,,,2,,,2,-0.09773884,0.08841206,0,0.078939974,0.8482739,1,,,2,,,2,-0.1044187,0.08123296,0,-0.13821808,0.6702324,1,,,2,0.68528765,0.10929272,0,,,2,,,2,0.7831965,11.977525,1.5671761,0.021113671,0.6710149,350.08905,347.1799,352.8306,,,,0.072841175,0.24541752,0.85695344,1.2480693,,,,0.065843135,0.96407384,-23.97443,0.07674285,3.0471876,75.76824,,,,0.0851,12.908432,0.8942518,11.742,0.026,11.426,0.027,11.358,0.026,11.323,0.021,1.0109235,2.857847329331493,0.021028312,-4.6531477,2.1687694,2.6125507,,0.899276,,,,1
181224002601056,b'04322000-7634464',4627657185031582592,b'tess_hermes',7241,b'allstar',58476.516,68.08341979980469,-76.57955932617188,0,0,2,0,36.469296,67.859764,105.30629,737.4672,0.98255825,94,b'4750_2.50_-1.00',b'4750_2.50_-1.00',152.3636,True,20.142855,0.20374809,,,20.57269,0.4134687,-2.36161208152771,4637.9614,66.712906,2.4040349,0.10726311,-0.85802984,0.053518314,0,1.3607193,0.280479,3.3342388,1.4188478,0.20940419,0.048517346,0,0.1920418,0.1004258,0,-0.14535141,0.17219563,0,1.0380574,0.03227016,0,0.24712804,0.033984695,0,0.38139722,0.0085784495,0,0.54337645,0.02504497,0,0.45712465,0.009331927,0,-0.12413423,0.009642317,0,-0.10919762,0.02515581,0,0.19487855,0.021410784,0,-0.22069424,0.021383245,0,0.13832487,0.020702511,0,-0.08099817,0.017390976,0,-0.20088238,0.031636328,0,0.27251917,0.010492909,0,0.14217605,0.0052987617,0,-0.024712294,0.031811208,0,0.09544685,0.07589412,0,,,2,,,2,-0.040520288,0.023803597,0,-0.30672252,0.13421184,1,,,2,,,2,-0.01430719,0.050900202,0,-0.52496445,0.23343408,1,0.026802987,0.23424718,0,0.31884187,0.035929274,0,0.23061706,0.096080035,0,0.44495973,0.21803619,0,0.8917204,12.150224,2.1310086,0.03947412,40.197315,1216.2012,1192.357,1235.2915,,,,0.27554607,0.5810264,0.79297584,1.1478193,,,,0.083849736,0.8672829,9.862358,0.033734802,0.37391734,34.67458,0.0118009355,0.14931743,8.196671,0.0841,11.360939,1.2407637,9.773,0.022,9.189,0.024,9.073,0.021,9.066,0.02,1.0790116,0.8257254548384252,0.0149584375,3.9790983,1.4986331,1.3786083,-0.164963,,0.20879477,0.13142805,0.09055375,0
140609004301152,b'20281968-7638174',6363275390859135488,b'galah_main',619,b'allstar',56817.73,307.08203125,-76.63819122314453,0,0,2,0,30.078854,55.97309,87.25503,85.197586,0.84920996,94,b'4500_2.00_-0.75',b'4500_2.00_-0.75',249.81152,True,-67.85795,0.21308474,,,-68.65707,0.83552516,7.329312324523926,4519.5947,69.30681,2.0918136,0.10502718,-0.64681166,0.06107369,0,1.4296675,0.28184995,5.6355624,1.4263222,0.13076665,0.054719895,0,0.35409212,0.068710566,0,-0.25505504,0.23599833,1,0.60383755,0.10693307,0,0.15833846,0.042921316,0,0.20756325,0.02688458,0,0.48369867,0.05165133,0,0.31109384,0.022479199,0,0.010798778,0.049419608,0,0.24006912,0.028730515,0,0.22601996,0.02373674,0,0.32488957,0.019040361,0,0.3369463,0.022722103,0,-0.07174498,0.019307544,0,-0.37008402,0.04024465,0,0.37032828,0.020317717,0,0.13052191,0.016904226,0,0.17888364,0.03515578,0,-0.17256951,0.10379951,0,0.7654187,0.3174484,0,-0.42087302,0.3989938,1,0.07930566,0.04886703,0,0.123897344,0.13396412,0,,,2,0.87734526,0.46792376,1,0.047306977,0.0586792,0,0.30246034,0.18973745,0,-0.11537015,0.22813907,1,0.12772235,0.053860985,0,-0.023657922,0.14574851,0,0.7054788,0.17828818,0,0.9751401,9.523311,2.2141259,0.040391978,81.34788,3044.528,2916.7112,3154.158,,,,0.28304547,0.5790315,0.8403114,1.1429998,0.022438286,0.16794342,81.110695,0.19528316,3.026196,88.60427,,,,0.00982371,0.25831383,-74.230255,0.1052,12.818947,1.4190283,10.982,0.022,10.349,0.025,10.218,0.025,10.225,0.02,1.0132109,0.3270951574298106,0.0116914995,-2.4592257,1.8171114,1.8002251,,-0.35505554,,,,1
170512001301357,b'13211985-2519207',6192918055682738688,b'galah_main',6484,b'allstar',57885.504,200.33270263671875,-25.322444915771484,0,0,2,3072,25.707405,32.395893,42.258904,35.22606,0.63202024,94,b'6000_4.00_-0.50',b'6000_4.00_-0.50',137.93163,True,-27.164524,0.27820617,,,-28.257084,1.8767282,-10.893335342407227,5938.4824,75.332756,4.005434,0.096120164,-0.52474594,0.07582999,1,1.0649991,0.32864255,4.643908,2.4330294,1.703298,0.66698563,1,0.1718764,0.11974717,33,,,34,0.3606645,0.10559397,0,0.20008639,0.067696,0,0.21034932,0.07170442,0,-0.31763527,0.41526386,1,0.006370673,0.07533126,1,0.20696092,0.10762863,0,0.16838233,0.07618944,0,0.2123428,0.07049912,0,0.14830108,0.058401134,1,0.050889343,0.25350198,1,-0.067424044,0.058973595,0,-0.09023571,0.06958292,0,0.10715292,0.09200915,1,-0.019701295,0.03960962,0,0.26774946,0.14119418,1,0.19323777,0.14640556,0,,,2,,,2,-0.07758723,0.1777147,1,,,2,,,2,,,2,0.01999101,0.14246939,0,,,2,,,2,0.1135756,0.8449771,1,,,2,,,2,0.94395566,9.302815,1.3710282,0.0,2.8636134,658.6623,648.9194,668.3289,,,,0.07360449,0.23218858,0.9073149,1.3519406,,,,,,,,,,0.026850792,0.3999237,-4.325012,0.1195,12.741914,0.79570675,11.67,0.024,11.379,0.022,11.33,0.019,11.306,0.02,1.2374531,1.5177105633025931,0.021847097,26.864948,2.7500868,4.642315,2.04711,,0.050636467,0.07483266,0.061660983,0
151230002201172,b'05253922-5032310',4772594017530977664,b'galah_main',608,b'allstar',57386.52,81.41345977783203,-50.54199981689453,0,0,2,0,87.72125,111.891396,131.96,122.78145,0.72939473,94,b'5750_4.50_-1.00',b'5750_4.50_-1.00',113.15859,True,138.18336,0.20749107,,,142.16469,3.6680486,-3.9813544750213623,5751.2153,71.12623,4.280981,0.10836726,-0.95791686,0.06248564,0,0.6996879,0.2988311,5.569121,1.9877762,1.1159197,0.25123253,0,0.30453998,0.09437948,33,,,34,0.8321357,0.08962446,0,0.08429381,0.023918858,0,0.47588292,0.027236283,0,0.25465927,0.18172403,0,0.34095708,0.017981136,0,-0.20188312,0.035793483,0,0.26366848,0.029330917,0,0.31369212,0.03473196,0,0.37545285,0.025485396,0,0.21418035,0.053110693,0,0.042006277,0.019534713,0,-0.17645198,0.016103603,0,0.1349284,0.055620264,0,0.0035594653,0.015288047,0,-0.31582087,0.081843525,0,0.18025872,0.039400283,0,,,2,,,2,-0.087891206,0.04364424,0,,,2,,,2,,,2,0.10298886,0.055629138,0,0.6164308,0.19695204,1,,,2,-0.9502755,0.32501015,1,,,2,,,2,0.778,14.794149,1.4620109,0.0,1.100859,515.30945,512.6637,518.25745,,,,0.06447029,0.17342961,0.8874242,1.2419602,,,,,,,,,,,,,0.0454,13.092004,0.74328613,12.139,0.026,11.787,0.023,11.744,0.023,11.747,0.021,0.8770036,1.9415261669448816,0.009845381,14.758435,0.93263024,0.9946703,1.5951914,,0.029333944,0.029665235,0.061856873,0
150211003701207,b'10192127-4231117',5416087183420648320,b'galah_main',4530,b'allstar',57064.6,154.8386688232422,-42.51994323730469,0,0,2,0,27.395433,32.18628,40.732437,34.23469,0.6640435,94,b'5500_4.50_-0.50',b'5500_4.50_-0.50',123.176414,True,126.12708,0.2699762,,,114.32167,3.5376906,12.07054615020752,5514.324,82.7472,4.418223,0.10267926,-0.42836484,0.06536186,1,0.63420814,0.30132088,4.6196346,1.538664,0.104451895,0.37013793,1,0.3079493,0.0649666,32,0.27545255,0.14837137,33,0.37232062,0.20809291,0,0.063676834,0.037963565,0,0.44255278,0.032689516,0,0.3416102,0.14372635,0,0.24738456,0.031378563,0,0.101766706,0.07895259,0,0.18186966,0.039372046,0,0.098653056,0.054926988,0,0.26302114,0.03582214,0,0.28031468,0.045340266,0,0.0009600946,0.029096134,0,-0.093701854,0.041698724,0,0.16792676,0.07744126,0,0.037286535,0.022885814,0,0.08230652,0.07362778,0,0.41674536,0.09864345,0,,,2,,,2,0.4273969,0.09310396,0,0.27573654,0.87713015,1,,,2,,,2,0.6109947,0.088461325,0,0.847796,0.5507291,1,0.8826385,0.24079973,1,0.5390238,0.12004845,1,,,2,,,2,0.80163044,12.603621,1.6067362,0.0,0.69890046,493.5769,489.56662,497.31534,,,,0.0787016,0.19448169,0.8381701,1.1558768,,,,,,,,,,,,,0.1361,13.613028,0.90107155,12.446,0.026,12.061,0.025,11.999,0.025,11.992,0.022,1.062513,2.02827727765487,0.014343095,-4.912353,4.4662876,3.0956547,,1.1759096,,,,1
160919005101059,b'04280656-6750116',4656527955197575936,b'galah_main',281,b'allstar',57650.742,67.02737426757812,-67.83658599853516,0,0,2,0,32.58561,48.444458,66.66263,60.836384,0.64825416,94,b'5750_4.50_-0.75',b'5750_4.50_-0.75',110.111145,True,33.22711,0.2244997,,,35.850525,3.1276352,-1.2785239219665527,5844.69,76.08172,4.272273,0.10684698,-0.5907711,0.06596427,0,1.0893608,0.31148857,4.5581546,1.522519,0.89318734,0.2750576,1,0.4630853,0.061763074,33,0.48994958,0.31414074,33,0.51627946,0.112511024,0,0.07962954,0.03839719,0,0.32591686,0.03273083,0,0.08790201,0.16347288,0,0.22157912,0.02770349,0,0.19903219,0.05786556,0,0.09814555,0.034906335,0,0.22613518,0.056480847,0,0.17315935,0.03979034,0,0.14859834,0.12768285,1,0.0072094696,0.035006844,0,-0.15318434,0.044820372,0,0.08052546,0.12304597,0,0.007862052,0.021998405,0,0.118581615,0.085132465,0,0.32945466,0.091236874,0,,,2,,,2,-0.1049518,0.074508384,0,,,2,,,2,,,2,-0.026954517,0.07864837,0,0.18335024,0.5522214,1,,,2,0.24151349,0.23863761,1,,,2,,,2,0.82815754,13.210102,1.4203341,0.0,1.2752066,581.9118,578.07245,585.39105,,,,0.064591736,0.23392615,0.8788319,1.3195524,,,,,,,0.00819782,0.12977104,13.245897,,,,0.0546,13.257138,0.775012,12.255,0.025,11.968,0.025,11.89,0.028,11.895,0.02,0.99521506,1.7164252463998337,0.010425258,14.266564,1.9663653,2.3177576,1.6669744,,0.06605154,0.06842123,0.06373603,0
170417005501126,b'15404389-3912084',6008996281778218624,b'galah_main',4443,b'allstar',57860.668,235.18287658691406,-39.20233154296875,0,0,2,0,24.576569,82.69264,113.10108,114.45247,1.1637161,94,b'3900_1.00_-1.00',b'3900_1.00_-1.00',287.16437,True,-115.2497,0.19086014,,,-115.56501,0.7483037,16.25102424621582,3902.8545,67.19676,0.83758247,0.13662854,-0.9033307,0.056173548,0,1.657146,0.28056177,5.698841,1.4269774,,0.06912688,16,-0.124321856,0.1278496,0,-0.18763009,0.23643228,1,0.44309473,0.042036407,0,0.028519884,0.029154744,0,0.22053438,0.023910522,0,-0.069350116,0.037123725,0,0.38949203,0.018798163,0,-0.09438776,0.035046387,0,0.34423208,0.026335835,0,0.14952257,0.019503752,0,0.26291016,0.0169202,0,0.31039846,0.017396275,0,-0.03186973,0.015186876,0,-0.07869623,0.04210567,0,0.22431359,0.018933585,0,0.06656195,0.012321558,0,0.14068188,0.028705547,0,-0.052244566,0.08705405,0,-0.07259183,0.10804604,0,0.08579021,0.21350776,0,-0.13141671,0.037321933,0,0.2471171,0.048623413,0,0.09658733,0.15865892,0,-0.0775039,0.24153419,0,0.11044728,0.041545946,0,0.26694018,0.069534875,0,-0.057080425,0.118583634,0,-0.14622921,0.043632112,0,0.14381853,0.079699844,0,0.5505673,0.11002963,0,0.87863594,8.458225,2.6555848,0.109242335,731.8982,6777.8794,6302.8975,7637.6313,,-305.2497,,0.46608064,0.84249246,0.96128476,1.2342724,0.010445592,0.110647894,7.0082116,,,,,,,,,,0.1977,12.503831,1.8405447,10.216,0.023,9.416,0.023,9.198,0.019,9.217,0.022,1.0725389,0.13079706914627998,0.01513127,0.29747698,1.5873781,1.3601779,,-1.3126279,,,,3
160919005101292,b'04225129-6640185',4668757651233182336,b'galah_main',281,b'allstar',57650.742,65.71370697021484,-66.67180633544922,0,0,2,0,27.650166,41.448933,56.062176,53.31304,0.73790807,94,b'5000_3.00_-0.50',b'5000_3.00_-0.50',136.89626,True,-18.211502,0.2317669,,,-17.618572,1.5102305,-0.8004600405693054,4913.165,74.15465,3.0724256,0.11069046,-0.43370914,0.06529386,0,1.2097913,0.2841655,4.835499,1.4685811,0.08484779,0.08693891,1,0.112382144,0.05783902,0,0.2554828,0.10714377,1,0.40685806,0.11891302,0,0.14532083,0.050522458,0,0.21804571,0.032731812,0,0.25295952,0.08738371,0,0.17587349,0.032297436,0,0.08298895,0.067967795,0,0.10884322,0.0410243,0,0.15802027,0.036033243,0,0.2352518,0.024385706,0,0.2532574,0.032460645,0,-0.06196858,0.026218943,0,-0.1876277,0.04343869,0,0.2206322,0.03146084,0,0.04257037,0.020287449,0,0.07765485,0.048437648,0,-0.013442986,0.111906245,0,,,2,,,2,-0.09551805,0.06906829,0,-0.39255148,0.35181355,1,,,2,,,2,-0.06759367,0.086263694,0,0.5427004,0.11778383,0,-0.22501174,0.3935902,1,0.088532336,0.13714123,0,0.5953144,0.24183942,0,,,2,0.9869624,9.69291,1.9618989,0.021113684,12.023065,1685.6393,1657.8008,1716.1609,,,,0.20219797,0.43337876,0.8332478,1.1328014,,,,,,,,,,,,,0.0463,13.304726,1.1338387,11.868,0.023,11.36,0.024,11.243,0.021,11.257,0.02,0.8907413,0.591737891593498,0.010381158,-0.6351251,2.5529618,2.6783214,,0.303475,,,,1
170513003501362,b'13184556-2950354',6182881507385950080,b'galah_main',6342,b'allstar',57886.48,199.68988037109375,-29.84316635131836,0,0,2,0,18.352566,26.247873,37.44721,34.769787,0.6646857,94,b'5500_4.00_-0.50',b'5500_4.00_-0.50',119.949585,True,-0.33036277,0.23795192,,,0.26673973,3.8499293,-10.421910285949707,5447.631,82.11105,3.8847728,0.10090534,-0.44865483,0.07042668,1,1.2129116,0.3047594,2.9644494,1.7713935,0.7004552,0.44220454,1,0.3101557,0.061709892,1,0.46451437,0.16935778,1,0.5927617,0.13364826,0,0.07759765,0.06255134,0,0.2244544,0.0510709,0,0.47971725,0.18240662,0,0.20298034,0.041272834,0,-0.038750816,0.0938076,0,0.09056338,0.06395303,0,0.23814997,0.06296247,0,0.21400061,0.047532987,0,0.21780957,0.06787607,0,0.013053856,0.046473008,0,-0.0599813,0.058623537,0,0.2067525,0.07697802,0,0.07142715,0.029818397,0,0.08278079,0.09609466,0,-0.23384339,0.17332157,1,,,2,,,2,0.03132199,0.12773918,1,-0.1955193,1.3462648,1,,,2,,,2,-0.39248997,0.1416882,0,-0.21479052,1.3471444,1,-0.16530761,1.341044,1,0.19100875,0.5607012,1,,,2,,,2,0.8945793,11.94469,1.6427149,0.003672217,2.5372982,1028.0027,1011.2875,1045.883,,,,0.11393207,0.2521754,0.8646794,1.1946517,,,,0.021597283,0.16174006,11.219272,,,,,,,0.083,13.818539,0.92386055,12.607,0.028,12.227,0.025,12.16,0.024,12.143,0.035,0.9516218,0.9709458559153518,0.016700672,7.519346,3.7009542,4.5091653,1.0382375,,0.29928413,0.21138324,0.08152252,0
